# web name	original	what it shows
hero-rifle	DSC01746	barrelled action with bolt, clover mark visible
hero-action	DSC01610	bare action, port and fluted bolt
hero-chassis	DSC01739	chassis, KLOVR roll mark
feat-muzzle	DSC01627	muzzle end, clover mark
feat-profile	DSC01617	action in profile
cfg-stage	DSC01755	complete rifle on the post
p-action-short	DSC01633	short action
p-action-magnum	DSC01763	magnum action
p-chassis-bronze	DSC01740	bronze chassis
p-chassis-black	DSC01730	skeletonized chassis
p-rifle-cm	DSC01755	complete rifle, 6.5 CM
p-rifle-mag	DSC01746	complete rifle, magnum
p-bolt	DSC01722	bolt assembly
p-barrel	DSC01672	pre-fit barrel
gal-1	DSC01763	gallery
gal-2	DSC01654	gallery
gal-3	DSC01690	gallery
gal-4	DSC01704	gallery
gal-5	DSC01730	gallery
gal-6	DSC01659	gallery
